clique,tamanho,participantes
57,28,P001;P007;P013;P015;P018;P025;P041;P044;P048;P053;P056;P071;P072;P077;P081;P088;P091;P092;P094;P098;P099;P103;P111;P116;P121;P126;P131;P_TESTE
58,28,P001;P007;P013;P015;P018;P025;P041;P048;P053;P056;P071;P072;P077;P081;P088;P091;P092;P094;P098;P099;P103;P111;P116;P117;P121;P126;P131;P_TESTE
59,28,P001;P007;P013;P015;P022;P036;P041;P043;P044;P048;P056;P071;P072;P081;P087;P088;P091;P092;P094;P098;P099;P111;P121;P122;P126;P131;P133;P_TESTE
60,28,P001;P007;P013;P015;P025;P041;P043;P044;P048;P053;P056;P071;P072;P077;P080;P088;P091;P092;P094;P098;P099;P111;P116;P121;P122;P126;P131;P_TESTE
61,28,P001;P007;P013;P015;P025;P041;P043;P044;P048;P053;P056;P071;P072;P077;P081;P088;P091;P092;P094;P098;P099;P111;P116;P121;P122;P126;P131;P_TESTE
62,28,P001;P007;P013;P015;P025;P041;P043;P048;P053;P056;P071;P072;P077;P080;P088;P091;P092;P094;P098;P099;P111;P116;P117;P121;P122;P126;P131;P_TESTE
63,28,P001;P007;P013;P015;P025;P041;P043;P048;P053;P056;P071;P072;P077;P081;P088;P091;P092;P094;P098;P099;P111;P116;P117;P121;P122;P126;P131;P_TESTE
64,28,P001;P007;P013;P015;P025;P041;P044;P048;P053;P056;P071;P072;P077;P080;P088;P091;P092;P094;P098;P099;P103;P111;P116;P121;P122;P126;P131;P_TESTE
65,28,P001;P007;P013;P015;P025;P041;P044;P048;P053;P056;P071;P072;P077;P081;P088;P091;P092;P094;P098;P099;P103;P111;P116;P121;P122;P126;P131;P_TESTE
66,28,P001;P007;P013;P015;P025;P041;P044;P048;P056;P071;P072;P077;P080;P087;P088;P091;P092;P094;P098;P099;P103;P111;P116;P121;P122;P126;P131;P_TESTE
67,28,P001;P007;P013;P015;P025;P041;P048;P049;P055;P056;P071;P072;P077;P080;P087;P088;P091;P092;P094;P099;P103;P111;P116;P117;P122;P126;P131;P_TESTE
68,28,P001;P007;P013;P015;P025;P041;P048;P053;P056;P071;P072;P077;P080;P088;P091;P092;P094;P098;P099;P103;P111;P116;P117;P121;P122;P126;P131;P_TESTE
69,28,P001;P007;P013;P015;P025;P041;P048;P053;P056;P071;P072;P077;P081;P088;P091;P092;P094;P098;P099;P103;P111;P116;P117;P121;P122;P126;P131;P_TESTE
70,28,P002;P004;P005;P007;P013;P015;P018;P041;P048;P056;P066;P072;P077;P081;P087;P088;P092;P094;P098;P099;P103;P106;P111;P116;P117;P126;P131;P_TESTE
71,28,P002;P004;P005;P007;P013;P015;P018;P041;P048;P056;P071;P072;P077;P081;P087;P088;P092;P094;P098;P099;P103;P106;P111;P116;P117;P126;P131;P_TESTE
72,28,P002;P004;P005;P007;P013;P015;P018;P041;P048;P059;P066;P072;P077;P081;P087;P088;P092;P094;P098;P099;P103;P106;P111;P116;P117;P126;P131;P_TESTE
73,28,P004;P005;P007;P013;P015;P018;P022;P037;P041;P044;P048;P056;P071;P072;P081;P087;P088;P092;P094;P098;P099;P103;P111;P116;P121;P126;P131;P_TESTE
74,28,P004;P005;P007;P013;P015;P018;P022;P037;P041;P044;P048;P056;P071;P072;P081;P087;P088;P092;P094;P098;P099;P111;P116;P121;P126;P131;P133;P_TESTE
75,28,P004;P005;P007;P013;P015;P018;P022;P037;P041;P044;P048;P056;P071;P072;P081;P087;P092;P094;P098;P099;P111;P116;P121;P124;P126;P131;P133;P_TESTE
76,28,P004;P005;P007;P013;P015;P018;P022;P041;P043;P044;P048;P056;P071;P072;P081;P082;P087;P091;P092;P094;P098;P111;P116;P121;P124;P126;P131;P_TESTE
77,28,P004;P005;P007;P013;P015;P022;P036;P041;P043;P044;P048;P056;P071;P072;P081;P087;P088;P091;P092;P094;P098;P099;P111;P121;P126;P131;P133;P_TESTE
78,28,P005;P007;P013;P015;P022;P025;P043;P044;P048;P056;P071;P072;P077;P081;P087;P091;P092;P094;P099;P104;P111;P116;P121;P124;P126;P131;P133;P_TESTE
79,28,P005;P007;P013;P015;P022;P036;P041;P043;P044;P048;P056;P071;P072;P081;P087;P088;P091;P092;P094;P098;P099;P111;P121;P122;P126;P131;P133;P_TESTE
80,28,P005;P007;P013;P015;P025;P041;P043;P044;P048;P056;P071;P072;P077;P080;P087;P091;P092;P094;P098;P099;P111;P116;P121;P124;P126;P131;P133;P_TESTE
81,28,P005;P007;P013;P015;P025;P041;P044;P048;P056;P071;P072;P077;P080;P087;P088;P091;P092;P094;P098;P099;P103;P111;P116;P121;P122;P126;P131;P_TESTE
82,28,P005;P007;P013;P015;P025;P041;P048;P049;P055;P056;P071;P072;P077;P080;P087;P088;P091;P092;P094;P099;P103;P111;P116;P117;P122;P126;P131;P_TESTE
83,27,P001;P004;P007;P013;P015;P018;P022;P025;P030;P048;P049;P056;P072;P077;P081;P088;P092;P094;P098;P099;P103;P111;P116;P117;P126;P131;P_TESTE
84,27,P001;P004;P007;P013;P015;P018;P022;P025;P030;P048;P049;P056;P072;P077;P081;P088;P092;P094;P098;P099;P111;P116;P117;P126;P131;P133;P_TESTE
85,27,P001;P004;P007;P013;P015;P018;P022;P035;P037;P041;P048;P056;P072;P081;P087;P088;P092;P094;P098;P099;P103;P111;P116;P121;P126;P131;P_TESTE
86,27,P001;P004;P007;P013;P015;P018;P022;P035;P037;P041;P048;P056;P072;P081;P087;P088;P092;P094;P098;P099;P111;P116;P121;P126;P131;P133;P_TESTE
87,27,P001;P004;P007;P013;P015;P018;P022;P035;P041;P043;P048;P056;P072;P081;P082;P087;P091;P092;P094;P098;P111;P116;P117;P121;P126;P131;P_TESTE
88,27,P001;P004;P007;P013;P015;P018;P022;P035;P041;P048;P056;P072;P081;P082;P087;P091;P092;P094;P098;P103;P111;P116;P117;P121;P126;P131;P_TESTE
