participante_id,comunidade,pagerank,betweenness,grau_intercomunidades,forca_intercomunidades
P056,2,0.0145447726006965,0.0025244149622259,24,8.389624903748654
P135,2,0.0042986420446329,0.0017689331122166,4,0.8800145164183604
P055,2,0.0095742100340248,0.0017136539524599,15,4.1037854710316575
P091,2,0.0136873893917204,0.0015478164731896,21,7.5427092607067046
P133,2,0.0127497100509471,0.0015478164731896,21,6.683408369370905
P106,1,0.0118277264743426,0.0013266998341625,22,7.497425921178932
P122,2,0.0107932948519328,0.0012852404643449,17,4.666310159726387
P043,2,0.0119539267906292,0.0011931085314169,21,6.152015215617268
P048,2,0.0135201455857266,0.0011055831951354,23,7.82937020683701
P109,1,0.0041461560304873,0.0009950248756218,8,1.7227104182034432
P002,1,0.0097243595543964,0.0008844665561083,16,4.244831203841976
P053,2,0.0086856246016005,0.0007739082365948,17,4.60921077395407
P037,2,0.009659363399601,0.0006633499170812,21,5.8739698026210085
P121,2,0.0121694469911005,0.0006633499170812,19,6.532515763328254
P009,1,0.0063939360042645,0.0005527915975677,2,0.5228652220774924
P134,1,0.0058671013998647,0.0005527915975677,1,0.2638224265055431
P040,2,0.005064747161662,0.0005159388243965,5,1.1539827279312442
P008,2,0.0076387733062304,0.0004422332780541,14,3.4016172372901434
P054,1,0.0071918371854251,0.0003869541182974,5,1.1892896586296224
P022,2,0.0115184688027052,0.0003316749585406,21,6.7691706659516315
P066,1,0.0098015800930994,0.000221116639027,19,5.851580044986105
P060,2,0.0079935102163382,0.000221116639027,16,4.615400419066241
P047,2,0.0052135699074251,0.000221116639027,5,1.2239835184385004
P080,2,0.0093107235486449,0.0001289847060991,14,3.791929576359628
P100,2,0.0053693739016819,0.0001289847060991,7,1.507870764496826
P058,2,0.0061991688053624,0.0001105583195135,12,2.8801735335756304
P067,3,0.0022834735877178,0.0001105583195135,3,0.6308438912690804
P123,1,0.0060077437586919,0.0001105583195135,2,0.5103022493867522
P104,2,0.0096937196732183,5.52791597567717e-05,17,4.778487444680773
P132,4,0.0050962093451475,0.0,21,5.467428488661524
P044,2,0.0098161021835856,0.0,17,5.301214026484217
P082,2,0.0082715653325234,0.0,17,4.88767001444632
P035,2,0.007732309639585,0.0,16,4.111756401118881
P124,2,0.0079088584208485,0.0,15,4.24023211359898
P036,2,0.0079187115509961,0.0,15,4.069699343045779
P059,1,0.0094731510286672,0.0,14,4.062746267645693
P030,1,0.0066727231562617,0.0,13,2.940905334502026
P062,2,0.0063593852181971,0.0,13,2.8618771652694854
P064,2,0.0065516202956021,0.0,11,2.7500957010847524
P079,2,0.0047159604248946,0.0,11,2.7309348225357524
P045,3,0.0037793185676259,0.0,11,2.5387620014487373
P024,3,0.0037280407017074,0.0,11,2.4310569468418213
P020,2,0.0058588504700661,0.0,10,2.439056275474839
P031,1,0.0049441359398278,0.0,10,2.3003522806001233
P108,3,0.0035045738888191,0.0,10,2.1694875285107393
P052,1,0.005287580811999,0.0,9,2.186026329659174
P115,3,0.0038619998938474,0.0,9,2.148771065703145
P029,4,0.0026105612510773,0.0,7,1.7135769258139002
P046,1,0.0054877179699186,0.0,7,1.7126650495423532
P128,2,0.0034284489673726,0.0,6,1.323233528027827
P085,1,0.003125794673069,0.0,6,1.260809388821449
P028,2,0.0037582112529522,0.0,6,1.2309149097933274
P102,2,0.0031760376495695,0.0,5,1.083460239364135
P070,1,0.0045425181508424,0.0,5,1.0616641096967447
P114,3,0.0023819276509408,0.0,5,1.0308912369519116
P119,2,0.0029974345958516,0.0,4,0.8924133096001623
P051,1,0.004121377082039,0.0,3,0.8540684995326424
P113,1,0.0029348386467725,0.0,3,0.692803071461958
P038,3,0.0017628760751073,0.0,2,0.4458042667395425
P101,1,0.0047809801238133,0.0,2,0.4308202184276646
P021,1,0.0032043713214653,0.0,2,0.4308202184276646
P032,2,0.0026377490811626,0.0,2,0.415433782055248
P027,1,0.0025213310023388,0.0,2,0.415433782055248
P096,1,0.0040340062520093,0.0,2,0.4000473456828314
P105,1,0.0058277704524375,0.0,1,0.2638224265055431
P039,1,0.0023370654227875,0.0,1,0.2447967036877001
P016,2,0.001758092030074,0.0,1,0.2307965455862488
P084,1,0.0049921723477092,0.0,1,0.2230369966932378
P003,1,0.0048051019505423,0.0,1,0.2154101092138323
P097,2,0.0026437724814885,0.0,1,0.2154101092138323
