posicao,participante_id,pagerank,grau,forca,betweenness,comunidade
44,P059,0.009473151028667295,42,12.243353353571614,0.0,1
45,P080,0.009310723548644996,46,12.061815676923828,0.00012898470609913395,2
46,P053,0.008685624601600536,40,10.766381465342205,0.0007739082365948038,2
47,P082,0.008271565332523446,38,10.875421706411545,0.0,2
48,P060,0.007993510216338208,36,10.234451501672325,0.0002211166390270868,2
49,P036,0.0079187115509961,38,10.322277604758519,0.0,2
50,P124,0.007908858420848531,38,10.28762428256121,0.0,2
51,P035,0.007732309639585051,39,10.032441713604696,0.0,2
52,P008,0.007638773306230497,38,9.323609500863311,0.0004422332780541736,2
53,P054,0.007191837185425122,33,8.482006330416466,0.0003869541182974019,1
54,P078,0.006961606693956343,24,6.736869490560968,0.011940298507462687,1
55,P030,0.006672723156261725,35,8.176171634256573,0.0,1
56,P064,0.006551620295602175,33,8.06050974156791,0.0,2
57,P009,0.006393936004264524,27,6.9730645902866195,0.000552791597567717,1
58,P062,0.006359385218197175,35,7.80092324081521,0.0,2
59,P058,0.0061991688053624925,30,7.294617093089809,0.0001105583195135434,2
60,P123,0.00600774375869194,25,6.4321945248009005,0.0001105583195135434,1
61,P134,0.0058671013998647225,25,6.2164472875963135,0.000552791597567717,1
62,P020,0.005858850470066154,27,6.826164897800424,0.0,2
63,P105,0.0058277704524375825,25,6.0915162231457325,0.0,1
64,P046,0.005487717969918659,25,6.250201555338442,0.0,1
65,P100,0.0053693739016819194,24,5.231388366621639,0.00012898470609913395,2
66,P052,0.005287580811999034,25,6.048823688113481,0.0,1
67,P047,0.005213569907425152,23,5.85149747791466,0.0002211166390270868,2
68,P132,0.0050962093451475815,22,5.731250915167067,0.0,4
69,P040,0.005064747161662024,22,4.877500330056059,0.0005159388243965358,2
70,P093,0.005047867527441988,15,3.8328544257720987,0.011940298507462687,1
71,P084,0.004992172347709286,18,4.867540843071924,0.0,1
72,P031,0.004944135939827807,23,5.462054299198109,0.0,1
73,P003,0.004805101950542366,21,4.769795275449144,0.0,1
74,P101,0.0047809801238133075,22,4.877500330056059,0.0,1
75,P079,0.004715960424894663,22,5.33998200876313,0.0,2
76,P070,0.004542518150842474,23,4.877500330056058,0.0,1
77,P135,0.004298642044632955,16,3.6119874921824584,0.0017689331122166944,2
78,P069,0.0042436034708344655,10,2.3408568864785435,0.011940298507462687,1
79,P034,0.004200350653175376,16,3.630285672920692,0.0001105583195135434,1
80,P109,0.004146156030487383,17,3.8736740050520817,0.0009950248756218905,1
81,P051,0.004121377082039058,16,3.975078250037605,0.0,1
82,P096,0.0040340062520093645,19,4.031246329573147,0.0,1
83,P115,0.0038619998938474853,14,3.233448499251712,0.0,3
84,P045,0.003779318567625994,15,3.431175311048899,0.0,3
85,P028,0.0037582112529522156,18,3.8158362203593157,0.0,2
86,P024,0.0037280407017074874,15,3.338856692814401,0.0,3
87,P042,0.003722999120217437,12,2.8422764160677563,0.0,1
88,P108,0.0035045738888191966,14,3.0311279653660685,0.0,3
89,P128,0.003428448967372693,15,3.3080838200695672,0.0,2
90,P021,0.003204371321465357,13,2.7849449834074034,0.0,1
91,P102,0.003176037649569555,12,2.7369172869645038,0.0,2
92,P085,0.003125794673069072,13,2.8003086586796524,0.0,1
93,P119,0.0029974345958516026,11,2.477216255959071,0.0,2
94,P113,0.0029348386467725404,10,2.357618077263834,0.0,1
95,P097,0.0026437724814885235,6,1.3343703619505287,0.0,2
96,P032,0.0026377490811626153,6,1.286592603640835,0.0,2
97,P029,0.002610561251077342,8,1.9773993523194435,0.0,4
98,P027,0.002521331002338819,8,1.8978645595625856,0.0,1
99,P012,0.002500916154815301,6,1.4336050255124155,0.0,1
100,P114,0.0023819276509408423,6,1.2463013461657442,0.0,3
101,P039,0.002337065422787556,7,1.5421622362451655,0.0,1
102,P067,0.002283473587717807,5,1.0462776733243284,0.0001105583195135434,3
103,P038,0.0017628760751073544,3,0.6906009704272427,0.0,3
104,P016,0.0017580920300740268,3,0.67700320038633,0.0,2
105,P112,0.0017420544530537775,3,0.6616167640139134,0.0,1
106,P073,0.001696417731615283,1,0.24618298195866548,0.0,1
107,P006,0.0015894072254955846,2,0.414578098794425,0.0,1
108,P118,0.0015419781871174533,1,0.20100756305184242,0.0,1
109,P130,0.0014926427192593404,1,0.2000236728414157,0.0,1
110,P014,0.0014808864770497873,1,0.2447967036877001,0.0,2
111,P010,0.0013169451652252253,0,0.0,0.0,5
112,P011,0.0013169451652252253,0,0.0,0.0,6
113,P017,0.0013169451652252253,0,0.0,0.0,7
114,P019,0.0013169451652252253,0,0.0,0.0,8
115,P023,0.0013169451652252253,0,0.0,0.0,9
116,P026,0.0013169451652252253,0,0.0,0.0,10
117,P033,0.0013169451652252253,0,0.0,0.0,11
118,P050,0.0013169451652252253,0,0.0,0.0,12
119,P057,0.0013169451652252253,0,0.0,0.0,13
120,P061,0.0013169451652252253,0,0.0,0.0,14
121,P063,0.0013169451652252253,0,0.0,0.0,15
122,P065,0.0013169451652252253,0,0.0,0.0,16
123,P068,0.0013169451652252253,0,0.0,0.0,17
124,P074,0.0013169451652252253,0,0.0,0.0,18
125,P075,0.0013169451652252253,0,0.0,0.0,19
126,P076,0.0013169451652252253,0,0.0,0.0,20
127,P083,0.0013169451652252253,0,0.0,0.0,21
128,P089,0.0013169451652252253,0,0.0,0.0,22
129,P090,0.0013169451652252253,0,0.0,0.0,23
130,P095,0.0013169451652252253,0,0.0,0.0,24
131,P107,0.0013169451652252253,0,0.0,0.0,25
132,P110,0.0013169451652252253,0,0.0,0.0,26
133,P120,0.0013169451652252253,0,0.0,0.0,27
134,P125,0.0013169451652252253,0,0.0,0.0,28
135,P127,0.0013169451652252253,0,0.0,0.0,29
136,P129,0.0013169451652252253,0,0.0,0.0,30
