clique,tamanho,participantes
66,27,P001;P007;P013;P015;P025;P041;P044;P048;P056;P071;P072;P077;P080;P087;P088;P091;P092;P094;P098;P099;P103;P111;P116;P121;P122;P126;P131
67,27,P001;P007;P013;P015;P025;P041;P048;P049;P055;P056;P071;P072;P077;P080;P087;P088;P091;P092;P094;P099;P103;P111;P116;P117;P122;P126;P131
68,27,P001;P007;P013;P015;P025;P041;P048;P053;P056;P071;P072;P077;P080;P088;P091;P092;P094;P098;P099;P103;P111;P116;P117;P121;P122;P126;P131
69,27,P001;P007;P013;P015;P025;P041;P048;P053;P056;P071;P072;P077;P081;P088;P091;P092;P094;P098;P099;P103;P111;P116;P117;P121;P122;P126;P131
70,27,P002;P004;P005;P007;P013;P015;P018;P041;P048;P056;P066;P072;P077;P081;P087;P088;P092;P094;P098;P099;P103;P106;P111;P116;P117;P126;P131
71,27,P002;P004;P005;P007;P013;P015;P018;P041;P048;P056;P071;P072;P077;P081;P087;P088;P092;P094;P098;P099;P103;P106;P111;P116;P117;P126;P131
72,27,P002;P004;P005;P007;P013;P015;P018;P041;P048;P059;P066;P072;P077;P081;P087;P088;P092;P094;P098;P099;P103;P106;P111;P116;P117;P126;P131
73,27,P004;P005;P007;P013;P015;P018;P022;P037;P041;P044;P048;P056;P071;P072;P081;P087;P088;P092;P094;P098;P099;P103;P111;P116;P121;P126;P131
74,27,P004;P005;P007;P013;P015;P018;P022;P037;P041;P044;P048;P056;P071;P072;P081;P087;P088;P092;P094;P098;P099;P111;P116;P121;P126;P131;P133
75,27,P004;P005;P007;P013;P015;P018;P022;P037;P041;P044;P048;P056;P071;P072;P081;P087;P092;P094;P098;P099;P111;P116;P121;P124;P126;P131;P133
76,27,P004;P005;P007;P013;P015;P018;P022;P041;P043;P044;P048;P056;P071;P072;P081;P082;P087;P091;P092;P094;P098;P111;P116;P121;P124;P126;P131
77,27,P004;P005;P007;P013;P015;P022;P036;P041;P043;P044;P048;P056;P071;P072;P081;P087;P088;P091;P092;P094;P098;P099;P111;P121;P126;P131;P133
78,27,P005;P007;P013;P015;P022;P025;P043;P044;P048;P056;P071;P072;P077;P081;P087;P091;P092;P094;P099;P104;P111;P116;P121;P124;P126;P131;P133
79,27,P005;P007;P013;P015;P022;P036;P041;P043;P044;P048;P056;P071;P072;P081;P087;P088;P091;P092;P094;P098;P099;P111;P121;P122;P126;P131;P133
80,27,P005;P007;P013;P015;P025;P041;P043;P044;P048;P056;P071;P072;P077;P080;P087;P091;P092;P094;P098;P099;P111;P116;P121;P124;P126;P131;P133
81,27,P005;P007;P013;P015;P025;P041;P044;P048;P056;P071;P072;P077;P080;P087;P088;P091;P092;P094;P098;P099;P103;P111;P116;P121;P122;P126;P131
82,27,P005;P007;P013;P015;P025;P041;P048;P049;P055;P056;P071;P072;P077;P080;P087;P088;P091;P092;P094;P099;P103;P111;P116;P117;P122;P126;P131
83,26,P001;P004;P007;P013;P015;P018;P022;P025;P030;P048;P049;P056;P072;P077;P081;P088;P092;P094;P098;P099;P103;P111;P116;P117;P126;P131
84,26,P001;P004;P007;P013;P015;P018;P022;P025;P030;P048;P049;P056;P072;P077;P081;P088;P092;P094;P098;P099;P111;P116;P117;P126;P131;P133
85,26,P001;P004;P007;P013;P015;P018;P022;P035;P037;P041;P048;P056;P072;P081;P087;P088;P092;P094;P098;P099;P103;P111;P116;P121;P126;P131
86,26,P001;P004;P007;P013;P015;P018;P022;P035;P037;P041;P048;P056;P072;P081;P087;P088;P092;P094;P098;P099;P111;P116;P121;P126;P131;P133
87,26,P001;P004;P007;P013;P015;P018;P022;P035;P041;P043;P048;P056;P072;P081;P082;P087;P091;P092;P094;P098;P111;P116;P117;P121;P126;P131
88,26,P001;P004;P007;P013;P015;P018;P022;P035;P041;P048;P056;P072;P081;P082;P087;P091;P092;P094;P098;P103;P111;P116;P117;P121;P126;P131
89,26,P001;P004;P007;P013;P015;P018;P022;P037;P041;P044;P048;P056;P071;P072;P081;P082;P087;P092;P094;P098;P103;P111;P116;P121;P126;P131
90,26,P001;P004;P007;P013;P015;P018;P022;P041;P043;P044;P048;P056;P071;P072;P081;P082;P087;P091;P092;P094;P098;P111;P116;P121;P126;P131
91,26,P001;P004;P007;P013;P015;P018;P022;P041;P043;P048;P056;P071;P072;P081;P082;P087;P091;P092;P094;P098;P111;P116;P117;P121;P126;P131
92,26,P001;P004;P007;P013;P015;P018;P022;P041;P044;P048;P056;P071;P072;P081;P082;P087;P091;P092;P094;P098;P103;P111;P116;P121;P126;P131
93,26,P001;P004;P007;P013;P015;P018;P022;P041;P048;P056;P071;P072;P081;P082;P087;P091;P092;P094;P098;P103;P111;P116;P117;P121;P126;P131
94,26,P001;P004;P007;P013;P015;P022;P035;P036;P041;P043;P048;P056;P072;P081;P087;P088;P091;P092;P094;P098;P099;P111;P121;P126;P131;P133
95,26,P001;P004;P007;P013;P015;P022;P036;P037;P041;P044;P048;P056;P071;P072;P081;P087;P088;P092;P094;P098;P099;P103;P111;P121;P126;P131
96,26,P001;P004;P007;P013;P015;P022;P036;P037;P041;P044;P048;P056;P071;P072;P081;P087;P088;P092;P094;P098;P099;P111;P121;P126;P131;P133
