participante_id,comunidade,pagerank,betweenness,grau_intercomunidades,forca_intercomunidades
P115,3,0.0039730861157232,0.0,9,2.148771065703145
P046,1,0.0055594605603361,0.0,7,1.7126650495423532
P085,1,0.0030765846996481,0.0,6,1.260809388821449
P028,2,0.0038878884191177,0.0,6,1.2309149097933274
P128,2,0.0034128510964707,0.0,5,1.1232098551864111
P102,2,0.0032716796201398,0.0,5,1.083460239364135
P070,1,0.0045782933382905,0.0,5,1.0616641096967447
P114,3,0.0024324354364341,0.0,5,1.0308912369519116
P119,2,0.0030859173497466,0.0,4,0.8924133096001623
P051,1,0.0041093113774746,0.0,3,0.8540684995326424
P113,1,0.0030313416267456,0.0,3,0.692803071461958
P029,2,0.0025369811593557,0.0,2,0.5494326016101712
P038,3,0.0017964627807971,0.0,2,0.4458042667395425
P101,1,0.0048483927440495,0.0,2,0.4308202184276646
P021,1,0.0031837196299101,0.0,2,0.4308202184276646
P032,2,0.0026883773152503,0.0,2,0.415433782055248
P027,1,0.0024276963058331,0.0,2,0.415433782055248
P096,1,0.0040523728954284,0.0,2,0.4000473456828314
P105,1,0.0058842717044408,0.0,1,0.2638224265055431
P039,1,0.0022490752736655,0.0,1,0.2447967036877001
P016,2,0.0017908452781942,0.0,1,0.2307965455862488
P084,1,0.0049966379528699,0.0,1,0.2230369966932378
P003,1,0.0048604975105452,0.0,1,0.2154101092138323
P097,2,0.0026958938091866,0.0,1,0.2154101092138323
